Name,Battery kWh,Acceleration sec,TopSpeed km/h,Range km,Efficiency Wh/km,NumberofSeats,PriceinEurope,Score
Mercedes EQS 580 4MATIC,107.8,4.3,210.0,610.0,177.0,5,135529,0.5237522430745802
Tesla Model 3 Standard Range Plus,50.0,5.6,225.0,340.0,147.0,5,43560,0.4907041682801634
Polestar 2 Standard Range Single Motor,61.0,7.4,160.0,350.0,174.0,5,46500,0.4515524418328326
Polestar 2 Long Range Single Motor,75.0,7.4,160.0,425.0,176.0,5,49500,0.4778658279397511
Polestar 2 Long Range Dual Motor,75.0,4.7,205.0,395.0,190.0,5,52500,0.4883377571514745
Volkswagen ID.4 Pure,52.0,10.9,160.0,285.0,182.0,5,36950,0.4040187050329834
Audi Q4 e-tron 40,76.6,8.5,160.0,405.0,189.0,5,47500,0.4581967257054139
Audi Q4 e-tron 50 quattro,76.6,6.2,180.0,385.0,199.0,5,53600,0.46297545506330706
Audi Q4 Sportback e-tron 50 quattro,76.6,6.2,180.0,400.0,192.0,5,55600,0.47042829201323505
Mercedes EQB 350 4MATIC,66.5,6.5,160.0,340.0,196.0,7,60000,0.44873744031900276
Volkswagen ID.4 GTX,77.0,6.2,180.0,400.0,193.0,5,50415,0.4736339901014581
CUPRA Born 150 kW - 62 kWh,58.0,7.3,160.0,350.0,166.0,5,36770,0.46249904981807743
CUPRA Born 170 kW - 62 kWh,58.0,6.6,160.0,345.0,168.0,5,39000,0.46323108852629064
CUPRA Born 170 kW - 82 kWh,77.0,7.0,160.0,450.0,171.0,5,43000,0.49675987234810626
BMW i4 M50,80.7,3.9,225.0,450.0,179.0,5,69900,0.5130699959891478
Volvo XC40 Recharge Twin Pure Electric,75.0,4.9,180.0,340.0,221.0,5,59250,0.4398630077502514
Renault Megane E-Tech Electric,60.0,8.0,160.0,335.0,179.0,5,38000,0.4450222618626045
Peugeot e-Rifter Standard 50 kWh,45.0,11.7,135.0,200.0,225.0,7,37590,0.3482838622996442
Peugeot e-Rifter Long 50 kWh,45.0,11.7,135.0,195.0,231.0,7,42590,0.3392363677793545
